,경찰서,관서명,구분,주소,경도,위도
0,서울중부,을지,지구대,서울특별시 중구  을지로 234,126.9827821,37.5659094
1,서울중부,광희,지구대,서울특별시 중구  퇴계로 375-1,127.0133464,37.5652647
2,서울중부,약수,지구대,서울특별시 중구  동호로 5길 15,127.012366,37.55233
3,서울중부,신당,파출소,서울특별시 중구 다산로 248,127.012139,37.5574729
4,서울중부,장충,파출소,서울특별시 중구  동호로 261,127.0025474,37.5633592
5,서울중부,충무,파출소,서울특별시 중구  퇴계로 178,127.0053889,37.5643228
6,서울중부,을지로3가,파출소,서울특별시 중구 충무로56-1,126.99287,37.566224
7,서울중부,중부,경찰서,서울특별시 중구 수표로 27,126.9896042,37.567547
8,서울남대문,태평로,파출소,서울특별시 중구  다동길 11,126.9799968,37.5679325
9,서울남대문,서울역,파출소,서울특별시 중구  통일로 13,126.9711958,37.5597344
10,서울남대문,명동,파출소,서울특별시 중구 명동길 30,126.9851142,37.5638495
11,서울남대문,남대문,파출소,서울특별시 중구  남대문시장4길 28-16,126.9768515,37.5585533
12,서울남대문,중림,파출소,서울특별시 중구  중림로 36,126.9635806,37.5592002
13,서울남대문,회현,파출소,서울특별시 중구  퇴계로6길 3-10,126.9785719,37.5572539
14,서울남대문,서소문,파출소,서울특별시 중구  서소문로 131-1 서소문파출소,126.9754008,37.5638078
15,서울남대문,남대문,경찰서,서울특별시 중구 한강대로 410,126.9735286,37.55471135
